S 1111
R 39379 8
W 18162 9
R 18162 9
W 16100 10
R 16100 10
W 11722 5
R 11722 5
W 41307 22
R 41307 22
W 41133 31
R 41133 31
W 12771 9
R 12771 9
W 28768 31
R 28768 31
W 38376 8
R 38376 8
W 50369 14
R 50369 14
W 51461 23
R 51461 23
W 25814 29
R 25814 29
W 24749 4
R 24749 4
W 30427 19
R 30427 19
W 8206 2
R 8206 2
W 53683 10
R 53683 10
W 51701 31
R 51701 31
W 35676 12
R 35676 12
W 45660 26
R 45660 26
W 6439 22
R 6439 22
W 53373 31
R 53373 31
W 34757 10
R 34757 10
W 14682 26
R 14682 26
W 46198 7
R 46198 7
W 1120 20
R 1120 20
W 6269 16
R 6269 16
W 1484 30
R 1484 30
W 17192 20
R 17192 20
W 12999 25
R 12999 25
W 23646 6
R 23646 6
W 22326 22
R 22326 22
W 52407 3
R 52407 3
W 26295 30
R 26295 30
W 10756 24
R 10756 24
W 12601 24
R 12601 24
W 36042 2
R 36042 2
W 48383 31
R 48383 31
W 9239 27
R 9239 27
W 11446 16
R 11446 16
W 50588 24
R 50588 24
W 20934 20
R 20934 20
W 48764 12
R 48764 12
W 23405 21
R 23405 21
W 40460 14
R 40460 14
W 48040 5
R 48040 5
W 41226 6
R 41226 6
W 10365 1
R 10365 1
W 5129 9
R 5129 9
W 1492 17
R 1492 17
W 34888 16
R 34888 16
W 24889 13
R 24889 13
W 6340 28
R 6340 28
W 10658 26
R 10658 26
W 13458 5
R 13458 5
W 54633 23
R 54633 23
W 18287 11
R 18287 11
W 47177 4
R 47177 4
W 24258 22
R 24258 22
W 10127 20
R 10127 20
W 33259 3
R 33259 3
W 55097 21
R 55097 21
W 54805 14
R 54805 14
W 37047 11
R 37047 11
W 20203 14
R 20203 14
W 10284 22
R 10284 22
W 36249 2
R 36249 2
W 52293 15
R 52293 15
W 34717 13
R 34717 13
W 41785 19
R 41785 19
W 19520 17
R 19520 17
W 30303 10
R 30303 10
W 49106 16
R 49106 16
W 39322 17
R 39322 17
W 25182 2
R 25182 2
W 7010 8
R 7010 8
W 42081 27
R 42081 27
W 1856 8
R 1856 8
W 45650 13
R 45650 13
W 42133 27
R 42133 27
W 3715 12
R 3715 12
W 55408 24
R 55408 24
W 22054 16
R 22054 16
W 17018 9
R 17018 9
W 47774 12
R 47774 12
W 31220 9
R 31220 9
W 32342 3
R 32342 3
W 39566 21
R 39566 21
W 24315 27
R 24315 27
W 23740 21
R 23740 21
W 5458 10
R 5458 10
W 34211 28
R 34211 28
W 19130 22
R 19130 22
W 21547 10
R 21547 10
W 1243 19
R 1243 19
W 15946 29
R 15946 29
W 50562 20
R 50562 20
W 36731 8
R 36731 8
W 56177 24
R 56177 24
W 55660 27
R 55660 27
W 47017 9
R 47017 9
W 48365 26
R 48365 26
W 25523 16
R 25523 16
W 29735 26
R 29735 26
W 35748 18
R 35748 18
W 17416 4
R 17416 4
W 10498 8
R 10498 8
W 23210 28
R 23210 28
W 13967 30
R 13967 30
W 28873 31
R 28873 31
W 42902 9
R 42902 9
W 3784 13
R 3784 13
W 50639 14
R 50639 14
W 35008 25
R 35008 25
W 28730 3
R 28730 3
W 30543 3
R 30543 3
W 46477 19
R 46477 19
W 24035 20
R 24035 20
W 35768 10
R 35768 10
W 48111 13
R 48111 13
W 25326 25
R 25326 25
W 47186 20
R 47186 20
W 43427 12
R 43427 12
W 57260 27
R 57260 27
W 49618 16
R 49618 16
W 56220 23
R 56220 23
W 8074 18
R 8074 18
W 13952 16
R 13952 16
W 26792 20
R 26792 20
W 26265 1
R 26265 1
W 8558 26
R 8558 26
W 198 28
R 198 28
W 4644 28
R 4644 28
W 4156 14
R 4156 14
W 4275 26
R 4275 26
W 46392 31
R 46392 31
W 52259 7
R 52259 7
W 57233 16
R 57233 16
W 41096 29
R 41096 29
W 30200 23
R 30200 23
W 12212 3
R 12212 3
W 11203 3
R 11203 3
W 15353 16
R 15353 16
W 54423 18
R 54423 18
W 388 22
R 388 22
W 32132 21
R 32132 21
W 14616 16
R 14616 16
W 55790 24
R 55790 24
W 40179 31
R 40179 31
W 51481 17
R 51481 17
W 46678 28
R 46678 28
W 8520 7
R 8520 7
W 11228 29
R 11228 29
W 6208 16
R 6208 16
W 40983 29
R 40983 29
W 28351 5
R 28351 5
W 49101 20
R 49101 20
W 57097 18
R 57097 18
W 40133 20
R 40133 20
W 32872 6
R 32872 6
W 11984 19
R 11984 19
W 41276 21
R 41276 21
W 23606 10
R 23606 10
W 37669 12
R 37669 12
W 25941 16
R 25941 16
W 42703 30
R 42703 30
W 14991 9
R 14991 9
W 40485 13
R 40485 13
W 43249 23
R 43249 23
W 21200 28
R 21200 28
W 17567 2
R 17567 2
W 14548 19
R 14548 19
W 7185 4
R 7185 4
W 51 21
R 51 21
W 2942 6
R 2942 6
W 22305 29
R 22305 29
W 40583 16
R 40583 16
W 33335 24
R 33335 24
W 29576 28
R 29576 28
W 5094 2
R 5094 2
W 37274 27
R 37274 27
W 5256 21
R 5256 21
W 33485 1
R 33485 1
W 12949 7
R 12949 7
W 26900 28
R 26900 28
W 46278 9
R 46278 9
W 9973 2
R 9973 2
W 45599 13
R 45599 13
W 9592 28
R 9592 28
W 56286 23
R 56286 23
W 21229 25
R 21229 25
W 11076 23
R 11076 23
W 19292 3
R 19292 3
W 52273 1
R 52273 1
W 49879 14
R 49879 14
W 30657 6
R 30657 6
W 47821 27
R 47821 27
W 16539 12
R 16539 12
W 16120 24
R 16120 24
W 35160 16
R 35160 16
W 55446 16
R 55446 16
W 21951 12
R 21951 12
W 11193 15
R 11193 15
W 8851 19
R 8851 19
W 55857 25
R 55857 25
W 25127 11
R 25127 11
W 20848 27
R 20848 27
W 7827 22
R 7827 22
W 15079 13
R 15079 13
W 15281 22
R 15281 22
W 51932 20
R 51932 20
W 29232 3
R 29232 3
W 8124 19
R 8124 19
W 49987 8
R 49987 8
W 9723 27
R 9723 27
W 50880 29
R 50880 29
W 43705 11
R 43705 11
W 7710 26
R 7710 26
W 25694 30
R 25694 30
W 10147 4
R 10147 4
W 16162 18
R 16162 18
W 27565 5
R 27565 5
W 55094 14
R 55094 14
W 3422 8
R 3422 8
W 21765 15
R 21765 15
W 12251 20
R 12251 20
W 40066 23
R 40066 23
W 34186 16
R 34186 16
W 13526 31
R 13526 31
W 6899 19
R 6899 19
W 46440 13
R 46440 13
W 22884 1
R 22884 1
W 15923 22
R 15923 22
W 13972 16
R 13972 16
W 22579 4
R 22579 4
W 41248 9
R 41248 9
W 43010 28
R 43010 28
W 2023 31
R 2023 31
W 30478 5
R 30478 5
W 53589 4
R 53589 4
W 7765 2
R 7765 2
W 44020 19
R 44020 19
W 33596 9
R 33596 9
W 38677 1
R 38677 1
W 39499 24
R 39499 24
W 53988 29
R 53988 29
W 29628 1
R 29628 1
W 53204 27
R 53204 27
W 25546 20
R 25546 20
W 13440 6
R 13440 6
W 17568 25
R 17568 25
W 21330 10
R 21330 10
W 621 22
R 621 22
W 43994 29
R 43994 29
W 20607 13
R 20607 13
W 1422 11
R 1422 11
W 32351 19
R 32351 19
W 18859 5
R 18859 5
W 768 29
R 768 29
W 31150 30
R 31150 30
W 21193 20
R 21193 20
W 3326 23
R 3326 23
W 30939 21
R 30939 21
W 30836 7
R 30836 7
W 49979 24
R 49979 24
W 30883 30
R 30883 30
W 33428 20
R 33428 20
W 13437 2
R 13437 2
W 10031 14
R 10031 14
W 40573 2
R 40573 2
W 23942 27
R 23942 27
W 50818 7
R 50818 7
W 21902 7
R 21902 7
W 40321 4
R 40321 4
W 45293 12
R 45293 12
W 54746 21
R 54746 21
W 33730 25
R 33730 25
W 51771 19
R 51771 19
W 40875 25
R 40875 25
W 39234 23
R 39234 23
W 12195 2
R 12195 2
W 35522 29
R 35522 29
W 56795 25
R 56795 25
W 5945 30
R 5945 30
W 32663 26
R 32663 26
W 23736 31
R 23736 31
W 22977 9
R 22977 9
W 30980 31
R 30980 31
W 4967 12
R 4967 12
W 51166 12
R 51166 12
W 28085 4
R 28085 4
W 51211 22
R 51211 22
W 32912 11
R 32912 11
W 44564 11
R 44564 11
W 5366 29
R 5366 29
W 41763 17
R 41763 17
W 31036 18
R 31036 18
W 46801 17
R 46801 17
W 52517 12
R 52517 12
W 23585 14
R 23585 14
W 25536 12
R 25536 12
W 10715 24
R 10715 24
W 39955 16
R 39955 16
W 11473 30
R 11473 30
W 47460 23
R 47460 23
W 29646 15
R 29646 15
W 37479 9
R 37479 9
W 6288 20
R 6288 20
W 52768 9
R 52768 9
W 13107 20
R 13107 20
W 11771 27
R 11771 27
W 1967 2
R 1967 2
W 9276 17
R 9276 17
W 56910 18
R 56910 18
W 27786 1
R 27786 1
W 15902 29
R 15902 29
W 54088 12
R 54088 12
W 19916 27
R 19916 27
W 2776 10
R 2776 10
W 24277 19
R 24277 19
W 20300 1
R 20300 1
W 2902 22
R 2902 22
W 52861 5
R 52861 5
W 54442 23
R 54442 23
W 43659 5
R 43659 5
W 32691 17
R 32691 17
W 48692 11
R 48692 11
W 24509 9
R 24509 9
W 26083 4
R 26083 4
W 46034 20
R 46034 20
W 39034 24
R 39034 24
W 33464 11
R 33464 11
W 31210 4
R 31210 4
W 6941 27
R 6941 27
W 11041 26
R 11041 26
W 10495 9
R 10495 9
W 11414 12
R 11414 12
W 23584 1
R 23584 1
W 6205 6
R 6205 6
W 38832 26
R 38832 26
W 14504 31
R 14504 31
W 31567 8
R 31567 8
W 48837 29
R 48837 29
W 55629 4
R 55629 4
W 14616 7
R 14616 7
W 55062 30
R 55062 30
W 48912 8
R 48912 8
W 15701 2
R 15701 2
W 10834 11
R 10834 11
W 32188 21
R 32188 21
W 45669 7
R 45669 7
W 45024 30
R 45024 30
W 47890 25
R 47890 25
W 47630 31
R 47630 31
W 15562 21
R 15562 21
W 30231 5
R 30231 5
W 35105 3
R 35105 3
W 19536 27
R 19536 27
W 44147 23
R 44147 23
W 27791 29
R 27791 29
W 53949 21
R 53949 21
W 38685 25
R 38685 25
W 40307 1
R 40307 1
W 43719 3
R 43719 3
W 19685 16
R 19685 16
W 7480 17
R 7480 17
W 44863 18
R 44863 18
W 56901 6
R 56901 6
W 55576 11
R 55576 11
W 15776 3
R 15776 3
W 10769 26
R 10769 26
W 27477 15
R 27477 15
W 34078 16
R 34078 16
W 56088 26
R 56088 26
W 56643 5
R 56643 5
W 14108 2
R 14108 2
W 43852 15
R 43852 15
W 25037 17
R 25037 17
W 49836 14
R 49836 14
W 12420 26
R 12420 26
W 13591 8
R 13591 8
W 11995 18
R 11995 18
W 56020 21
R 56020 21
W 28328 29
R 28328 29
W 42355 24
R 42355 24
W 51663 28
R 51663 28
W 16385 7
R 16385 7
W 25270 12
R 25270 12
W 3274 19
R 3274 19
W 5809 26
R 5809 26
W 50550 25
R 50550 25
W 47629 15
R 47629 15
W 7175 15
R 7175 15
W 55682 21
R 55682 21
W 10350 15
R 10350 15
W 3653 25
R 3653 25
W 14275 20
R 14275 20
W 16860 12
R 16860 12
W 10817 30
R 10817 30
W 50820 9
R 50820 9
W 23758 9
R 23758 9
W 40761 2
R 40761 2
W 1400 14
R 1400 14
W 25070 3
R 25070 3
W 16319 17
R 16319 17
W 56399 21
R 56399 21
W 42605 19
R 42605 19
W 38392 14
R 38392 14
W 53814 29
R 53814 29
W 41256 27
R 41256 27
W 31106 14
R 31106 14
W 14377 31
R 14377 31
W 44175 27
R 44175 27
W 41949 8
R 41949 8
W 10891 18
R 10891 18
W 42629 9
R 42629 9
W 6837 17
R 6837 17
W 1064 6
R 1064 6
W 18351 22
R 18351 22
W 4719 28
R 4719 28
W 48822 31
R 48822 31
W 36003 14
R 36003 14
W 42266 15
R 42266 15
W 18327 15
R 18327 15
W 37399 26
R 37399 26
W 29172 21
R 29172 21
W 38958 28
R 38958 28
W 31966 5
R 31966 5
W 9252 27
R 9252 27
W 15245 12
R 15245 12
W 35614 24
R 35614 24
W 46600 3
R 46600 3
W 18386 27
R 18386 27
W 34305 7
R 34305 7
W 70 12
R 70 12
W 5871 20
R 5871 20
W 34607 13
R 34607 13
W 17439 23
R 17439 23
W 42542 25
R 42542 25
W 41882 5
R 41882 5
W 29815 14
R 29815 14
W 9182 20
R 9182 20
W 40876 10
R 40876 10
W 29026 28
R 29026 28
W 49529 2
R 49529 2
W 4735 15
R 4735 15
W 44802 23
R 44802 23
W 53866 31
R 53866 31
W 25271 23
R 25271 23
W 34389 2
R 34389 2
W 4316 4
R 4316 4
W 8698 9
R 8698 9
W 8407 19
R 8407 19
W 33876 10
R 33876 10
W 53713 2
R 53713 2
W 48971 24
R 48971 24
W 15741 4
R 15741 4
W 21229 21
R 21229 21
W 33766 4
R 33766 4
W 41210 13
R 41210 13
W 28990 21
R 28990 21
W 29174 26
R 29174 26
W 23553 11
R 23553 11
W 5909 28
R 5909 28
W 48332 29
R 48332 29
W 8630 30
R 8630 30
W 6831 15
R 6831 15
W 9651 15
R 9651 15
W 35275 3
R 35275 3
W 41612 9
R 41612 9
W 53750 2
R 53750 2
W 41444 17
R 41444 17
W 17664 10
R 17664 10
W 52381 14
R 52381 14
W 39200 24
R 39200 24
W 11846 13
R 11846 13
W 16656 18
R 16656 18
W 19103 23
R 19103 23
W 50334 30
R 50334 30
W 15306 23
R 15306 23
W 48928 15
R 48928 15
W 20243 25
R 20243 25
W 24881 24
R 24881 24
W 46422 28
R 46422 28
W 7886 29
R 7886 29
W 18072 28
R 18072 28
W 47545 3
R 47545 3
W 56 30
R 56 30
W 40269 19
R 40269 19
W 1952 20
R 1952 20
W 23148 5
R 23148 5
W 32972 20
R 32972 20
W 38436 6
R 38436 6
W 55438 16
R 55438 16
W 3360 28
R 3360 28
W 7212 28
R 7212 28
W 29145 26
R 29145 26
W 34320 9
R 34320 9
W 32774 28
R 32774 28
W 40455 11
R 40455 11
W 45896 6
R 45896 6
W 28569 19
R 28569 19
W 44316 18
R 44316 18
W 43962 16
R 43962 16
W 15527 27
R 15527 27
W 41175 10
R 41175 10
W 35138 4
R 35138 4
W 4753 17
R 4753 17
W 44302 6
R 44302 6
W 39464 11
R 39464 11
W 8056 5
R 8056 5
W 34415 12
R 34415 12
W 49556 26
R 49556 26
W 25691 14
R 25691 14
W 18405 21
R 18405 21
W 110 11
R 110 11
W 1794 27
R 1794 27
W 34862 2
R 34862 2
W 49114 11
R 49114 11
W 56967 13
R 56967 13
W 51012 19
R 51012 19
W 37781 1
R 37781 1
W 41217 17
R 41217 17
W 28652 29
R 28652 29
W 28998 15
R 28998 15
W 10303 21
R 10303 21
W 41064 10
R 41064 10
W 16911 14
R 16911 14
W 39726 16
R 39726 16
W 41878 24
R 41878 24
W 35021 14
R 35021 14
W 56897 28
R 56897 28
W 5133 28
R 5133 28
W 9197 17
R 9197 17
W 39512 12
R 39512 12
W 45160 8
R 45160 8
W 33235 18
R 33235 18
W 45602 19
R 45602 19
W 51748 24
R 51748 24
W 37092 21
R 37092 21
W 19490 19
R 19490 19
W 3112 24
R 3112 24
W 18386 8
R 18386 8
W 11911 31
R 11911 31
W 46242 29
R 46242 29
W 50707 27
R 50707 27
W 30243 22
R 30243 22
W 52542 17
R 52542 17
W 10948 18
R 10948 18
W 7703 21
R 7703 21
W 45983 26
R 45983 26
W 18105 24
R 18105 24
W 21117 3
R 21117 3
W 22599 13
R 22599 13
W 15082 25
R 15082 25
W 38924 31
R 38924 31
W 33359 10
R 33359 10
W 21399 10
R 21399 10
W 45676 27
R 45676 27
W 44321 9
R 44321 9
W 21565 29
R 21565 29
W 50301 30
R 50301 30
W 6025 22
R 6025 22
W 5264 3
R 5264 3
W 25318 12
R 25318 12
W 1897 2
R 1897 2
W 8486 16
R 8486 16
W 27640 18
R 27640 18
W 9982 3
R 9982 3
W 36934 12
R 36934 12
W 36203 27
R 36203 27
W 43252 7
R 43252 7
W 44167 3
R 44167 3
W 55771 20
R 55771 20
W 32427 22
R 32427 22
W 50690 17
R 50690 17
W 55856 28
R 55856 28
W 32072 3
R 32072 3
W 15419 25
R 15419 25
W 13318 20
R 13318 20
W 50303 24
R 50303 24
W 38312 10
R 38312 10
W 18834 12
R 18834 12
W 22857 24
R 22857 24
W 42464 19
R 42464 19
W 45688 7
R 45688 7
W 4578 15
R 4578 15
W 17157 17
R 17157 17
W 30713 26
R 30713 26
W 7517 8
R 7517 8
W 41948 29
R 41948 29
W 43404 30
R 43404 30
W 36320 3
R 36320 3
W 28614 7
R 28614 7
W 55468 31
R 55468 31
W 18749 29
R 18749 29
W 40764 13
R 40764 13
W 41680 27
R 41680 27
W 134 1
R 134 1
W 31071 2
R 31071 2
W 1449 21
R 1449 21
W 47537 31
R 47537 31
W 34629 20
R 34629 20
W 30197 14
R 30197 14
W 14742 17
R 14742 17
W 54754 27
R 54754 27
W 22194 9
R 22194 9
W 15230 5
R 15230 5
W 50754 22
R 50754 22
W 28334 4
R 28334 4
W 20241 4
R 20241 4
W 23577 11
R 23577 11
W 38609 5
R 38609 5
W 55068 4
R 55068 4
W 6915 21
R 6915 21
W 7613 22
R 7613 22
W 23636 10
R 23636 10
W 47160 9
R 47160 9
W 54308 31
R 54308 31
W 49879 9
R 49879 9
W 41344 7
R 41344 7
W 52012 30
R 52012 30
W 14375 26
R 14375 26
W 48325 25
R 48325 25
W 45551 11
R 45551 11
W 40279 3
R 40279 3
W 862 26
R 862 26
W 53069 24
R 53069 24
W 6233 15
R 6233 15
W 4486 2
R 4486 2
W 14054 29
R 14054 29
W 54282 11
R 54282 11
W 50865 6
R 50865 6
W 30419 2
R 30419 2
W 47728 3
R 47728 3
W 43151 20
R 43151 20
W 53859 11
R 53859 11
W 21538 23
R 21538 23
W 31334 17
R 31334 17
W 10483 18
R 10483 18
W 31834 8
R 31834 8
W 11605 6
R 11605 6
W 49082 28
R 49082 28
W 55784 27
R 55784 27
W 49932 25
R 49932 25
W 43888 10
R 43888 10
W 55986 13
R 55986 13
W 27948 25
R 27948 25
W 11197 3
R 11197 3
W 23609 22
R 23609 22
W 7593 3
R 7593 3
W 16925 11
R 16925 11
W 30852 25
R 30852 25
W 6806 14
R 6806 14
W 50983 13
R 50983 13
W 16191 4
R 16191 4
W 2515 15
R 2515 15
W 41786 15
R 41786 15
W 26935 7
R 26935 7
W 24993 18
R 24993 18
W 34962 3
R 34962 3
W 9782 17
R 9782 17
W 44172 14
R 44172 14
W 9384 1
R 9384 1
W 30562 3
R 30562 3
W 40566 17
R 40566 17
W 34219 31
R 34219 31
W 42264 15
R 42264 15
W 38610 25
R 38610 25
W 53530 1
R 53530 1
W 49976 26
R 49976 26
W 41339 22
R 41339 22
W 23790 13
R 23790 13
W 30361 19
R 30361 19
W 472 12
R 472 12
W 53864 14
R 53864 14
W 1355 1
R 1355 1
W 3503 25
R 3503 25
W 35841 5
R 35841 5
W 27168 27
R 27168 27
W 37689 13
R 37689 13
W 39022 7
R 39022 7
W 2345 6
R 2345 6
W 55060 3
R 55060 3
W 56629 17
R 56629 17
W 48629 2
R 48629 2
W 47239 5
R 47239 5
W 44408 18
R 44408 18
W 50214 24
R 50214 24
W 48026 30
R 48026 30
W 56395 8
R 56395 8
W 12393 14
R 12393 14
W 42657 8
R 42657 8
W 29550 18
R 29550 18
W 20591 30
R 20591 30
W 22021 13
R 22021 13
W 50725 21
R 50725 21
W 56461 19
R 56461 19
W 19450 7
R 19450 7
W 20299 21
R 20299 21
W 39887 21
R 39887 21
W 10652 30
R 10652 30
W 36017 12
R 36017 12
W 35276 6
R 35276 6
W 47910 17
R 47910 17
W 5845 4
R 5845 4
W 4970 14
R 4970 14
W 39177 25
R 39177 25
W 25942 19
R 25942 19
W 52398 29
R 52398 29
W 2566 20
R 2566 20
W 31087 24
R 31087 24
W 12583 26
R 12583 26
W 40827 31
R 40827 31
W 18846 29
R 18846 29
W 42577 20
R 42577 20
W 56326 7
R 56326 7
W 22980 8
R 22980 8
W 34563 30
R 34563 30
W 47502 19
R 47502 19
W 18680 15
R 18680 15
W 6555 3
R 6555 3
W 14242 3
R 14242 3
W 54893 14
R 54893 14
W 57116 3
R 57116 3
W 12991 5
R 12991 5
W 1487 16
R 1487 16
W 55630 27
R 55630 27
W 8746 7
R 8746 7
W 37912 7
R 37912 7
W 26511 9
R 26511 9
W 20790 18
R 20790 18
W 2648 9
R 2648 9
W 52301 30
R 52301 30
W 36491 3
R 36491 3
W 45956 17
R 45956 17
W 38464 4
R 38464 4
W 13285 11
R 13285 11
W 40900 11
R 40900 11
W 19163 27
R 19163 27
W 3438 1
R 3438 1
W 43011 31
R 43011 31
W 18888 26
R 18888 26
W 2612 24
R 2612 24
W 6683 17
R 6683 17
W 47035 1
R 47035 1
W 47286 19
R 47286 19
W 1344 6
R 1344 6
W 46060 10
R 46060 10
W 21609 30
R 21609 30
W 30570 19
R 30570 19
W 14843 26
R 14843 26
W 5390 1
R 5390 1
W 48012 25
R 48012 25
W 30771 27
R 30771 27
W 21427 20
R 21427 20
W 33794 19
R 33794 19
W 22751 10
R 22751 10
W 23815 12
R 23815 12
W 14782 10
R 14782 10
W 352 25
R 352 25
W 6349 18
R 6349 18
W 55915 26
R 55915 26
W 32037 7
R 32037 7
W 44955 23
R 44955 23
W 53454 11
R 53454 11
W 47484 20
R 47484 20
W 21679 27
R 21679 27
W 30890 6
R 30890 6
W 25437 25
R 25437 25
W 22180 8
R 22180 8
W 22143 25
R 22143 25
W 29382 30
R 29382 30
W 43121 3
R 43121 3
W 53874 29
R 53874 29
W 18160 3
R 18160 3
W 45993 19
R 45993 19
W 36329 2
R 36329 2
W 15818 7
R 15818 7
W 15467 13
R 15467 13
W 48284 10
R 48284 10
W 13419 6
R 13419 6
W 14339 26
R 14339 26
W 25763 15
R 25763 15
W 39255 19
R 39255 19
W 33162 29
R 33162 29
W 24336 19
R 24336 19
W 51873 18
R 51873 18
W 26473 19
R 26473 19
W 49572 24
R 49572 24
W 21826 29
R 21826 29
W 11694 5
R 11694 5
W 18513 10
R 18513 10
W 30463 28
R 30463 28
W 34469 11
R 34469 11
W 21377 11
R 21377 11
W 41124 30
R 41124 30
W 55642 15
R 55642 15
W 4360 13
R 4360 13
W 26964 17
R 26964 17
W 1534 3
R 1534 3
W 39514 26
R 39514 26
W 33512 31
R 33512 31
W 22245 4
R 22245 4
W 55310 30
R 55310 30
W 17453 3
R 17453 3
W 8477 17
R 8477 17
W 13884 11
R 13884 11
W 52594 9
R 52594 9
W 53130 6
R 53130 6
W 24742 10
R 24742 10
W 46936 4
R 46936 4
W 35576 28
R 35576 28
W 55793 27
R 55793 27
W 3761 13
R 3761 13
W 9823 8
R 9823 8
W 3620 23
R 3620 23
W 22974 1
R 22974 1
W 9653 12
R 9653 12
W 31582 7
R 31582 7
W 43309 28
R 43309 28
W 19220 2
R 19220 2
W 4454 10
R 4454 10
W 5049 1
R 5049 1
W 11917 13
R 11917 13
W 21231 1
R 21231 1
W 1615 17
R 1615 17
W 28798 28
R 28798 28
W 47866 20
R 47866 20
W 11592 19
R 11592 19
W 36277 31
R 36277 31
W 40539 13
R 40539 13
W 5217 24
R 5217 24
W 19685 10
R 19685 10
W 43197 13
R 43197 13
W 22489 8
R 22489 8
W 26574 21
R 26574 21
W 7222 17
R 7222 17
W 1087 16
R 1087 16
W 22540 14
R 22540 14
W 54067 20
R 54067 20
W 33279 20
R 33279 20
W 30019 16
R 30019 16
W 27337 14
R 27337 14
W 23789 4
R 23789 4
W 55785 2
R 55785 2
W 3001 24
R 3001 24
W 34427 24
R 34427 24
W 28765 22
R 28765 22
W 23088 16
R 23088 16
W 31652 15
R 31652 15
W 27398 10
R 27398 10
W 13559 27
R 13559 27
W 23719 2
R 23719 2
W 30507 8
R 30507 8
W 11266 6
R 11266 6
W 8111 27
R 8111 27
W 9184 29
R 9184 29
W 41087 6
R 41087 6
W 50479 11
R 50479 11
W 18107 10
R 18107 10
W 2062 10
R 2062 10
W 14172 19
R 14172 19
W 12942 16
R 12942 16
W 16874 30
R 16874 30
W 49365 11
R 49365 11
W 7880 18
R 7880 18
W 41216 15
R 41216 15
W 37655 11
R 37655 11
W 19702 21
R 19702 21
W 37467 27
R 37467 27
W 29857 13
R 29857 13
W 18170 16
R 18170 16
W 26364 31
R 26364 31
W 10027 18
R 10027 18
W 1254 28
R 1254 28
W 52036 18
R 52036 18
W 32859 27
R 32859 27
W 23422 6
R 23422 6
W 43610 12
R 43610 12
W 16296 6
R 16296 6
W 23286 15
R 23286 15
W 38666 9
R 38666 9
W 29232 31
R 29232 31
W 55710 11
R 55710 11
W 29796 4
R 29796 4
W 14366 14
R 14366 14
W 15875 26
R 15875 26
W 24966 23
R 24966 23
W 18067 17
R 18067 17
W 37163 30
R 37163 30
W 46745 4
R 46745 4
W 14446 18
R 14446 18
W 32527 17
R 32527 17
W 2526 8
R 2526 8
W 12629 23
R 12629 23
W 38041 15
R 38041 15
W 26615 1
R 26615 1
W 26691 2
R 26691 2
W 30149 8
R 30149 8
W 31053 18
R 31053 18
W 36315 18
R 36315 18
W 37678 23
R 37678 23
W 4229 27
R 4229 27
W 20702 1
R 20702 1
W 23911 20
R 23911 20
W 41617 22
R 41617 22
W 24184 11
R 24184 11
W 27380 19
R 27380 19
W 20205 27
R 20205 27
W 1777 19
R 1777 19
W 40538 6
R 40538 6
W 3214 23
R 3214 23
W 42799 22
R 42799 22
W 121 3
R 121 3
W 30387 3
R 30387 3
W 1822 6
R 1822 6
W 11058 18
R 11058 18
W 53356 29
R 53356 29
W 36609 9
R 36609 9
W 29391 20
R 29391 20
W 851 24
R 851 24
W 16488 17
R 16488 17
W 53345 16
R 53345 16
W 8019 27
R 8019 27
W 8240 28
R 8240 28
W 40848 26
R 40848 26
W 25039 14
R 25039 14
W 50395 3
R 50395 3
W 240 6
R 240 6
W 9715 29
R 9715 29
W 7963 26
R 7963 26
W 31793 26
R 31793 26
W 42845 29
R 42845 29
W 26117 19
R 26117 19
W 28136 17
R 28136 17
W 17095 1
R 17095 1
W 52789 15
R 52789 15
W 37639 11
R 37639 11
W 3725 19
R 3725 19
W 56804 5
R 56804 5
W 39071 16
R 39071 16
W 52551 13
R 52551 13
W 18836 11
R 18836 11
W 9069 28
R 9069 28
W 22391 21
R 22391 21
W 49704 23
R 49704 23
W 22129 24
R 22129 24
W 41183 20
R 41183 20
W 43767 7
R 43767 7
W 13357 23
R 13357 23
W 49081 14
R 49081 14
W 35356 1
R 35356 1
W 47653 6
R 47653 6
W 27781 20
R 27781 20
W 53118 11
R 53118 11
W 55151 5
R 55151 5
W 2014 18
R 2014 18
W 33419 21
R 33419 21
W 22232 30
R 22232 30
W 31735 9
R 31735 9
W 53080 8
R 53080 8
W 17633 29
R 17633 29
W 31864 17
R 31864 17
W 9112 21
R 9112 21
W 52389 22
R 52389 22
W 24656 13
R 24656 13
W 44730 1
R 44730 1
W 23117 27
R 23117 27
W 1935 19
R 1935 19
W 20881 24
R 20881 24
W 4411 5
R 4411 5
W 16170 22
R 16170 22
W 44470 10
R 44470 10
W 19084 15
R 19084 15
W 34734 24
R 34734 24
W 53982 23
R 53982 23
W 1186 23
R 1186 23
W 31952 31
R 31952 31
W 7553 2
R 7553 2
W 43147 24
R 43147 24
W 6190 27
R 6190 27
W 30341 25
R 30341 25
W 45895 13
R 45895 13
W 20424 28
R 20424 28
W 30628 31
R 30628 31
W 29156 28
R 29156 28
W 35418 13
R 35418 13
W 25081 22
R 25081 22
W 29380 27
R 29380 27
W 31903 26
R 31903 26
W 21257 26
R 21257 26
W 20858 17
R 20858 17
W 26430 3
R 26430 3
W 55495 18
R 55495 18
W 36531 2
R 36531 2
W 20197 28
R 20197 28
W 43565 13
R 43565 13
W 28105 21
R 28105 21
W 38460 4
R 38460 4
W 14410 22
R 14410 22
W 16107 31
R 16107 31
W 30400 4
R 30400 4
